key,trinomial,dcterms:coverage_temporal,artifact,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,count,lat,long
1,41BC1,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,30.340446,-98.255822
2,41BC1,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,3,30.340446,-98.255822
3,41BC114,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,3,30.301736,-98.248169
4,41BC125,Prehistoric,,,12550 BC,1690 AD,,,2,30.297524,-98.253224
5,41BC127,Prehistoric,,,12550 BC,1690 AD,,,2,30.292057,-98.244114
6,41BC137,Prehistoric,,,12550 BC,1690 AD,,,2,30.277601,-98.208834
7,41BC139,Prehistoric,,,12550 BC,1690 AD,,,1,30.189006,-98.442739
8,41BC146,Prehistoric,,,12550 BC,1690 AD,,,24,30.305736,-98.280826
9,41BC153,Prehistoric,,,12550 BC,1690 AD,,,14,30.288731,-98.399128
10,41BC154,Prehistoric,,,12550 BC,1690 AD,,,15,30.283326,-98.392048
11,41BC154,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,15,30.283326,-98.392048
12,41BC154,,Pedernales Point,,1050 BC,50 BC,,,15,30.283326,-98.392048
13,41BC155,Prehistoric,,,12550 BC,1690 AD,,,11,30.283243,-98.40416
14,41BC156,Prehistoric,,,12550 BC,1690 AD,,,7,30.285376,-98.395477
15,41BC157,Prehistoric,,,12550 BC,1690 AD,,,4,30.284773,-98.39707
16,41BC167,Late Archaic Period,,,2299 BC,400 AD,1200 AD,http://n2t.net/ark:/99152/p0t3585b2rd,9,30.328577,-98.187454
17,41BC168,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,20,30.270876,-98.276058
18,41BC196,San Geronimo ,,,5049 BC,4049 BC,,http://n2t.net/ark:/99152/p0bw9m83vdh,2,30.128736,-98.490551
19,41BC376,San Geronimo ,,,5049 BC,4049 BC,,http://n2t.net/ark:/99152/p0bw9m83vdh,2,,
20,41BC38,Prehistoric,,,12550 BC,1690 AD,,,2,30.295379,-98.253822
21,41BC39,Prehistoric,,,12550 BC,1690 AD,,,2,30.295687,-98.250867
22,41BC65,Early Archaic,,7050 BC,6950 BC,4050 BC,3550 BC,http://n2t.net/ark:/99152/p0m448vxj6h,32,30.498447,-98.471717
23,41BC65,Archaic,,,6550 BC,700 AD,,http://n2t.net/ark:/99152/p07fthdxxsh,3,30.498447,-98.471717
24,41BN101,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,23,29.751384,-99.534705
25,41BN101,Archaic,,,6550 BC,700 AD,,http://n2t.net/ark:/99152/p07fthdxxsh,22,29.751384,-99.534705
26,41BN104,Prehistoric,,,12550 BC,1690 AD,,,16,29.682437,-99.297883
27,41BN104,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,29.682437,-99.297883
28,41BN105,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,29.69339,-99.318992
29,41BN11,Prehistoric,,,12550 BC,1690 AD,,,4,29.689077,-99.360623
30,41BN11,Archaic,,,6550 BC,700 AD,,http://n2t.net/ark:/99152/p07fthdxxsh,4,29.689077,-99.360623
31,41BN11,Austin ,,,700 AD,1300 AD,,http://n2t.net/ark:/99152/p0bw9m8trxt,1,29.689077,-99.360623
32,41BN11,,Gower Point,,6550 BC,5050 BC,,,1,29.689077,-99.360623
33,41BN173,Prehistoric,,,12550 BC,1690 AD,,,2,29.851278,-99.10789
34,41BN20,Prehistoric,,,12550 BC,1690 AD,,,6,29.689442,-99.359374
35,41BN202,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,6,29.860337,-99.368344
36,41BN202,Prehistoric,,,12550 BC,1690 AD,,,6,29.860337,-99.368344
37,41BN205,Prehistoric,,,12550 BC,1690 AD,,,2,29.590478,-98.907519
38,41BN213,Prehistoric,,,12550 BC,1690 AD,,,14,29.657586,-99.280489
39,41BN215,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,7,29.868662,-99.373227
40,41BN215,Prehistoric,,,12550 BC,1690 AD,,,7,29.868662,-99.373227
41,41BN216,Prehistoric,,,12550 BC,1690 AD,,,6,29.786806,-99.358419
42,41BN217,Prehistoric,,,12550 BC,1690 AD,,,6,29.799179,-99.304652
43,41BN218,Prehistoric,,,12550 BC,1690 AD,,,16,29.800172,-99.312426
44,41BN219,Prehistoric,,,12550 BC,1690 AD,,,6,29.798982,-99.29182
45,41BN33,Late Prehistoric,,,630 AD,1700 AD,,http://n2t.net/ark:/99152/p0m448vvmv7,22,29.764423,-99.507601
46,41BN33,Prehistoric,,,12550 BC,1690 AD,,,3,29.764423,-99.507601
47,41BN33,,Edwards Point,,850 AD,1150 AD,,,6,29.764423,-99.507601
48,41BN33,Late Archaic II,,,599 BC,600 AD,,http://n2t.net/ark:/99152/p0t35856b5j,6,29.764423,-99.507601
49,41BN33,Late Archaic Period,,,2299 BC,400 AD,1200 AD,http://n2t.net/ark:/99152/p0t3585b2rd,6,29.764423,-99.507601
50,41BN5,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,10,29.776168,-99.39266
51,41BN5,Prehistoric,,,12550 BC,1690 AD,,,10,29.776168,-99.39266
52,41BN63,Late Archaic,,1200 BC,1050 BC,650 AD,950 AD,http://n2t.net/ark:/99152/p0m448vtqnz,5,29.663989,-98.837791
53,41BN63,Middle Archaic,,4050 BC,3550 BC,1250 BC,1050 BC,http://n2t.net/ark:/99152/p0m448v3gsp,4,29.663989,-98.837791
54,41BS762,Middle Archaic,,,4050 BC,2050 BC,,http://n2t.net/ark:/99152/p0m448v3gsp,1,29.530114,-103.243666
55,41BS8,Early Archaic Period,,,6499 BC,3599 BC,,http://n2t.net/ark:/99152/p0qkjhb4hmc,1,29.718789,-103.353525
56,41BS884,Late Prehistoric,,,750 AD,1150 AD,1690 AD,http://n2t.net/ark:/99152/p0m448vvmv7,2,29.876317,-102.636298
57,41BT1,Prehistoric,,,12550 BC,1690 AD,,,19,30.485994,-98.132296
58,41BT1,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,17,30.485994,-98.132296
59,41BT1,Marshall Ford,,,2150 BC,1550 BC,,http://n2t.net/ark:/99152/p0qkjhb7dxw,17,30.485994,-98.132296
60,41BT10,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,1,30.862254,-98.418871
61,41BT10,Prehistoric,,,12550 BC,1690 AD,,,3,30.862254,-98.418871
62,41BT100,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,30.534408,-98.186224
63,41BT100,Prehistoric,,,12550 BC,1690 AD,,,13,30.534408,-98.186224
64,41BT100,Toyah,,1250 AD,1450 AD,1600 AD,1750 AD,http://n2t.net/ark:/99152/p0qkjhbzth5,13,30.534408,-98.186224
65,41BT100,Late Archaic,,,2050 BC,650 AD,750 AD,http://n2t.net/ark:/99152/p0m448vtqnz,13,30.534408,-98.186224
66,41BT101,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,2,30.530919,-98.188423
67,41BT101,Prehistoric,,,12550 BC,1690 AD,,,7,30.530919,-98.188423
68,41BT105,Prehistoric,,,12550 BC,1690 AD,,,21,30.807767,-98.3734
69,41BT105,Historic,,,1700 AD,1950 AD,,http://n2t.net/ark:/99152/p0m448v373x,3,30.807767,-98.3734
70,41BT105,Early Late Prehistoric,,,750 AD,1150 AD,1300 AD,http://n2t.net/ark:/99152/p07fthd27hd,10,30.807767,-98.3734
71,41BT147,Prehistoric,,,12550 BC,1690 AD,,,14,30.489476,-98.102904
72,41BT148,Prehistoric,,,12550 BC,1690 AD,,,11,30.490478,-98.100353
