period,artifact,dcterms:coverage_temporal,xsd:gDate_earliestStart,xsd:gDate_latestStart,xsd:gDate_earliestEnd,xsd:gDate_latestEnd,skos:CloseMatch,significance,source_name
41TG229,Prehistoric,,,-12550,1690,,,1.0,"164.txt"
41BX1690,Prehistoric,,,-12550,1690,,,0.588,"170.txt"
41BX1544,Prehistoric,,,-12550,1690,,,0.176,"170.txt"
41TA111,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.038,"183.txt"
41TA228,,Edwards Chert,,,,,,0.038,"183.txt"
41TA79,Prehistoric,,,-12550,1690,,,0.231,"183.txt"
41TA254,Prehistoric,,,-12550,1690,,,0.308,"183.txt"
41TA29,Historic Period,,,1690,1950,,http://n2t.net/ark:/99152/p07fthdvbjk,0.077,"183.txt"
41TA81,Historic Period,Edwards Chert,,,,,,0.038,"183.txt"
41TA1,Paleo-Indian period,,,-9550,-6850,,http://n2t.net/ark:/99152/p07fthdqd8t,0.038,"183.txt"
41TA29,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.077,"183.txt"
41TA81,Historic,Edwards Chert,,,,,,0.038,"183.txt"
41TA229,,Edwards Chert,,,,,,0.038,"183.txt"
41TA162,,Edwards Chert,,,,,,0.038,"183.txt"
41TA1,Paleo-Indian period,,,-9550,-6850,,http://n2t.net/ark:/99152/p07fthdqd8t,0.143,"192.txt"
41TA111,Historic Period,,,1690,1950,,http://n2t.net/ark:/99152/p07fthdvbjk,0.143,"192.txt"
41TA162,,Edwards Chert,,,,,,0.143,"192.txt"
41TA29,Historic Period,,,1690,1950,,http://n2t.net/ark:/99152/p07fthdvbjk,0.286,"192.txt"
41TA229,,Edwards Chert,,,,,,0.143,"192.txt"
41TA228,,Edwards Chert,,,,,,0.143,"192.txt"
41TV130,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.333,"2008 Piney 25 final report.txt"
41WM235,Paleoindian,,-12550,-11050,-7850,-7050,http://n2t.net/ark:/99152/p0m448vx5q4,0.333,"2008 Piney 25 final report.txt"
41BX254,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.2,"2011 Piney 32 Belton Final Report.txt"
41BX256,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.2,"2011 Piney 32 Belton Final Report.txt"
41BX1621,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.2,"2011 Piney 32 Belton Final Report.txt"
41BX1628,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.2,"2011 Piney 32 Belton Final Report.txt"
41TG346,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.02,"2013 BTAS vol 84.txt"
41MN23,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.025,"2013 BTAS vol 84.txt"
41TG346,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.02,"2013 BTAS vol 84.txt"
41MN55,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.025,"2013 BTAS vol 84.txt"
41TG45,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.035,"2013 BTAS vol 84.txt"
41KM16,Toyah,,1250,1450,1600,1750,http://n2t.net/ark:/99152/p0qkjhbzth5,0.025,"2013 BTAS vol 84.txt"
41CN269,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.2,"211.txt"
41CN74,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.4,"211.txt"
41CN193,Prehistoric,,,-12550,1690,,,0.438,"214.txt"
41CN74,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.125,"214.txt"
41CN193,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.438,"214.txt"
41CN186,Prehistoric,,,-12550,1690,,,0.312,"214.txt"
41CN186,Historic,,,1700,1950,,http://n2t.net/ark:/99152/p0m448v373x,0.312,"214.txt"
41SU17,Prehistoric,,,-12550,1690,,,0.083,"217.txt"
41SU22,Prehistoric,,,-12550,1690,,,0.25,"217.txt"
41SU22,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.25,"217.txt"
41SU27,Prehistoric,,,-12550,1690,,,0.167,"217.txt"
41SU1,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.167,"217.txt"
41SU1,Archaic,,,-6850,0650,0750,http://n2t.net/ark:/99152/p07fthdxxsh,0.167,"217.txt"
41SU1,Prehistoric,,,-12550,1690,,,0.167,"217.txt"
41BN33,Late Prehistoric,,,0750,1150,1690,http://n2t.net/ark:/99152/p0m448vvmv7,0.333,"222.txt"
