period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods
http://n2t.net/ark:/99152/p0bw9m85g3f,Archaic Stage,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6549,0700,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8c3c9,Circleville Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6549,-5049,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m83vdh,San Geronimo Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-5049,-4049,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8gcgw,Jarrell Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-4049,-3049,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8p6nf,Oakalla Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-3049,-2649,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8pzcr,Clear Fork Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2649,-2049,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8df3q,Marshall Ford Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2049,-1449,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8t4k7,Round Rock Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-1449,-0649,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m86qh2,San Marcos Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0649,-0299,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m853bn,Uvalde Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0299,0200,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m88mx8,Twin Sisters Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0200,0550,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8bttc,Driftwood Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0550,0700,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8trxt,Austin Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0700,1300,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8qwhn,Neoarchaic Stage,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0700,1750,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
http://n2t.net/ark:/99152/p0bw9m8rf48,Toyah Phase,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1300,1750,http://n2t.net/ark:/99152/p0bw9m8,Cultural chronology in Central Texas | Elton Prewitt,1981,
---,Prehistoric,Central Texas | Texas,---,-12550,1690,---,---,---,
