period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods
http://n2t.net/ark:/99152/p07fthd7n9t,Early Paleoindian,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-9550,-8030,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthd7n9t,Early Paleo-Indian,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-9550,-8030,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdqd8t,Paleoindian period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-9550,-6850,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdqd8t,Paleo-Indian period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-9550,-6850,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdrsfd,Late Paleoindian,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-8050,-6050,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdrsfd,Late Paleo-Indian,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-8050,-6050,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdxxsh,Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6850,0750,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdjbz5,Early Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6850,-4050,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdjd2x,Middle Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-4050,-2050,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdnmw9,Late Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2050,0750,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthd27hd,Early Late Prehistoric,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0750,1300,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthd99mc,Late Prehistoric,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0750,1690,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdht9w,Late Late Prehistoric,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1150,1690,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdjjrw,Early Historic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1690,1730,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdvbjk,Historic Period,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1690,1950,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdrw64,Middle Historic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1730,1800,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
http://n2t.net/ark:/99152/p07fthdfh68,Late Historic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1800,1950,http://n2t.net/ark:/99152/p07fthd,Archeology in Central Texas | Michael B. Collins | Timothy K. Perttula,2004,
