period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods,earliest_start,latest_end
http://n2t.net/ark:/99152/p0m448vx5q4,Paleoindian,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-11050,-7850,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,-12550,-7050
http://n2t.net/ark:/99152/p0m448vg59n,Aurora Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-12550,-9950,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448v7jdt,Bonfire Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-8750,-7850,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448vm427,Late Paleoindian,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-7450,-6850,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448vxj6h,Early Archaic,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-6950,-4050,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,-7050,-3550
http://n2t.net/ark:/99152/p0m448v3gsp,Middle Archaic,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-3550,-1250,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,-4050,-1050
http://n2t.net/ark:/99152/p0m448vmgzh,Eagle Nest Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-3550,-2150,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448vhfzk,San Felipe Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-2150,-1250,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448vtqnz,Late Archaic,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-1050,0650,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,-1200,0950
http://n2t.net/ark:/99152/p0m448v5btd,Cibola Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-1200,-0350,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448v3d2x,Flanders Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-0350,0100,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,-0450,0200
http://n2t.net/ark:/99152/p0m448v9dm2,Blue Hills Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,-0350,0650,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448vvmv7,Late Prehistoric,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,0630,1700,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448v869k,Flecha Period,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,0630,1500,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448v3k4t,Infierno Phase,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,1500,1700,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,,,
http://n2t.net/ark:/99152/p0m448v373x,Historic,Lower Pecos River Region | Texas,http://www.wikidata.org/entity/Q1439,1700,1950,http://n2t.net/ark:/99152/p0m448v,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,1991,1600,,
