period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods
http://n2t.net/ark:/99152/p0qkjhbvhv4,Paleoindian,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-9050,-6050,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbrq6c,Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6550,0700,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbm5n6,Circleville,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6550,-4850,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbpd2d,Early Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-6550,-2650,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbnpmz,San Geronimo,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-4850,-4150,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbrv6d,Jarrell,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-4150,-3150,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbf8k8,Oakalla,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-3150,-2650,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbp99p,Clear Fork,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2650,-2150,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhb7dxw,Middle Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2650,-0300,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhb4s9r,Marshall Ford,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-2150,-1550,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbfg9f,Round Rock,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-1550,-0650,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbjmhw,San Marcos,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0650,-0300,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbj9mg,Late Archaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0300,0700,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbpg5s,Uvalde,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,-0300,0150,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbzth5,Twin Sisters,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0150,0550,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbt454,Driftwood,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0550,0700,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhbnbq9,Austin,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0600,1400,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhb4hmc,Neoarchaic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,0700,1750,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhb529j,Toyah,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1250,1750,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
http://n2t.net/ark:/99152/p0qkjhb8cps,Historic,Central Texas | Texas,http://www.wikidata.org/entity/Q1439,1750,1950,http://n2t.net/ark:/99152/p0qkjhb,From Circleville to Toyah: comments on Central Texas chronology | Elton Prewitt,1983,
